id,purchase_url,status
"7291","https://www.flipkart.com/lee-cross-men-solid-casual-white-shirt/p/itmdc688c58b12b5?pid=SHTH72FHBDMHCC99&cmpid=product.share.pp&_refId=PP.93b6b853-e20b-4db1-8567-bab3f34f6a51.SHTH72FHBDMHCC99&_appId=CL","500"
"7350","https://www.flipkart.com/libas-embroidered-stitched-lehenga-choli/p/itme01e2d4abe3e0?pid=LCHGUSZ5HDRZGW8J&cmpid=product.share.pp&_refId=PP.624c9d88-816b-4f4a-b29d-de3a337ed594.LCHGUSZ5HDRZGW8J&_appId=CL","500"
"7370","https://www.flipkart.com/teewink-full-sleeve-solid-men-sweatshirt/p/itm4674ea1064786?pid=SWSH4XAZCBVRNBUE&cmpid=product.share.pp&_refId=PP.fad4e0ad-e953-47b8-8947-1797667c3e5b.SWSH4XAZCBVRNBUE&_appId=CL&affExtParam1=PJjScp8TrfQVbCW5yCBqSx_p10754004&affid=atgwish","500"
"7442","https://www.flipkart.com/mens-casual-shirts/vebnor~brand/pr?sid=clo%2Cash%2Caxc%2Cmmk%2Ckp7&marketplace=FLIPKART&otracker=product_breadCrumbs_VeBNoR+Casual+Shirts&sort=price_asc&affExtParam1=EPTG2270349&affExtParam2=8xOwQi_p__p_&pwsvid=PW1736488346614S8xOwQiRQ0xr3Izj","400"
"7447","https://www.flipkart.com/saahasam-full-sleeve-printed-men-women-sweatshirt/p/itma41ddcea4f736?pid=SWSH4YDDTHZDMNMY&cmpid=product.share.pp&_refId=PP.875f11db-96cc-49b2-b4b5-a0710a99651e.SWSH4YDDTHZDMNMY&_appId=CL","500"
"7474","https://www.flipkart.com/feel-high-men-checkered-casual-multicolor-shirt/p/itmb013092a14506?pid=SHTGFA5CSDD7PGGE&cmpid=product.share.pp&_refId=PP.479f6632-6325-4c79-92b2-5fc711b53980.SHTGFA5CSDD7PGGE&_appId=CL","500"
"7752","https://www.flipkart.com/dont-love-you-anymore-poetry-rithvik-singh/p/itmd6cadba7d87ac?pid=9786738290210&cmpid=product.share.pp&_refId=PP.555f1cc4-6cf8-4ac2-ab0f-ffc5ea6774ef.9786738290210&_appId=CL","500"
"7906","https://www.flipkart.com/roadster-full-sleeve-solid-men-jacket/p/itm9ab814ec79b8b?pid=JCKFYURZUTNUTEUE&cmpid=product.share.pp&_refId=PP.9bc11acd-beef-4817-ad91-78c39a728e6a.JCKFYURZUTNUTEUE&_appId=WA","500"
"8015","https://www.flipkart.com/nyli-professional-3-1-tfit-concealer-pcs-finger-puff-combo-dark-circle-spot-blemishes/p/itmac2de13755cda?pid=CLRH5YNJZMZGRFQG&cmpid=product.share.pp&_refId=PP.b135b19d-d487-4fa3-b575-fd7758dbb852.CLRH5YNJZMZGRFQG&_appId=CL","500"
"8032","https://www.flipkart.com/no-scars-day-cream-sunscreen-spf-30pa-bb-boint-wonderlite/p/itm0e109d7803e0e?pid=MSCH6C8UMHGNTDBG&cmpid=product.share.pp&_refId=PP.b6f94278-5185-4d38-b1af-17e7a188497e.MSCH6C8UMHGNTDBG&_appId=CL","500"
